sitename,cultivar,canopy_height,aboveground_dry_biomass,flag_leaf_emergence_time,flowering_time
MAC Field Scanner Season 4 Range 20 Column 11,PI527045,92.0,,,
MAC Field Scanner Season 4 Range 20 Column 12,PI329435,336.0,,,
MAC Field Scanner Season 4 Range 20 Column 13,PI533902,340.0,,70.0,76.0
MAC Field Scanner Season 4 Range 20 Column 14,PI154988,334.0,,,
MAC Field Scanner Season 4 Range 20 Column 15,PI152828,336.0,10480.0,62.0,64.0
MAC Field Scanner Season 4 Range 20 Column 2,PI542718,110.0,,52.0,
MAC Field Scanner Season 4 Range 20 Column 3,PI656026,113.0,,62.0,65.0
MAC Field Scanner Season 4 Range 20 Column 4,PI526905,329.0,12220.0,,56.0
MAC Field Scanner Season 4 Range 20 Column 5,PI593916,97.0,18930.0,56.0,63.0
MAC Field Scanner Season 4 Range 20 Column 6,PI534120,78.0,,72.0,74.0
MAC Field Scanner Season 4 Range 20 Column 7,PI576401,136.0,26630.0,77.0,83.0
MAC Field Scanner Season 4 Range 20 Column 8,PI655972,314.0,20140.0,,
MAC Field Scanner Season 4 Range 20 Column 9,PI535792,112.0,,,
MAC Field Scanner Season 4 Range 21 Column 10,PI563330,371.0,33410.0,,
MAC Field Scanner Season 4 Range 21 Column 11,PI570031,210.0,13300.0,,
MAC Field Scanner Season 4 Range 21 Column 12,PI329511,373.0,28840.0,,
MAC Field Scanner Season 4 Range 21 Column 13,PI570074,359.0,19030.0,,
MAC Field Scanner Season 4 Range 21 Column 14,PI570388,248.0,28420.0,,
MAC Field Scanner Season 4 Range 21 Column 15,PI329632,153.0,9413.0,70.0,72.0
MAC Field Scanner Season 4 Range 21 Column 2,PI570373,284.0,,,
MAC Field Scanner Season 4 Range 21 Column 3,PI329570,156.0,24900.0,,
MAC Field Scanner Season 4 Range 21 Column 4,PI152961,336.0,22270.0,,
MAC Field Scanner Season 4 Range 21 Column 5,PI563332,297.0,18040.0,,
MAC Field Scanner Season 4 Range 21 Column 6,PI155760,278.0,30920.0,,
MAC Field Scanner Season 4 Range 21 Column 7,PI570096,348.0,13420.0,,
MAC Field Scanner Season 4 Range 21 Column 8,PI505722,246.0,37240.0,,
MAC Field Scanner Season 4 Range 21 Column 9,PI569453,366.0,17130.0,,
MAC Field Scanner Season 4 Range 22 Column 10,PI329673,368.0,20740.0,,
MAC Field Scanner Season 4 Range 22 Column 11,PI569435,362.0,15510.0,,
MAC Field Scanner Season 4 Range 22 Column 12,PI570091,171.0,19270.0,,
MAC Field Scanner Season 4 Range 22 Column 13,PI266927,358.0,25090.0,,
MAC Field Scanner Season 4 Range 22 Column 14,PI569462,170.0,36050.0,,
MAC Field Scanner Season 4 Range 22 Column 15,PI619838,339.0,11240.0,,
MAC Field Scanner Season 4 Range 22 Column 2,PI329518,102.0,12510.0,,
MAC Field Scanner Season 4 Range 22 Column 3,PI329665,132.0,16550.0,,
MAC Field Scanner Season 4 Range 22 Column 4,PI563006,337.0,32290.0,,
MAC Field Scanner Season 4 Range 22 Column 5,PI562998,361.0,35670.0,,
MAC Field Scanner Season 4 Range 22 Column 6,PI330184,366.0,25670.0,,
MAC Field Scanner Season 4 Range 22 Column 7,PI330196,241.0,32030.0,,
MAC Field Scanner Season 4 Range 22 Column 8,PI569459,381.0,9614.0,,
MAC Field Scanner Season 4 Range 22 Column 9,PI329299,255.0,43590.0,,
MAC Field Scanner Season 4 Range 23 Column 10,PI154846,252.0,16540.0,,
MAC Field Scanner Season 4 Range 23 Column 11,PI255239,243.0,27210.0,,
MAC Field Scanner Season 4 Range 23 Column 12,PI297130,366.0,34340.0,,
MAC Field Scanner Season 4 Range 23 Column 13,PI651495,335.0,22680.0,,
MAC Field Scanner Season 4 Range 23 Column 14,PI642998,365.0,17470.0,54.0,59.0
MAC Field Scanner Season 4 Range 23 Column 15,PI563329,354.0,29120.0,,
MAC Field Scanner Season 4 Range 23 Column 2,PI329843,294.0,13170.0,,
MAC Field Scanner Season 4 Range 23 Column 3,PI585954,147.0,18820.0,,
MAC Field Scanner Season 4 Range 23 Column 4,PI651497,258.0,29480.0,,
MAC Field Scanner Season 4 Range 23 Column 5,PI329841,372.0,20410.0,,
MAC Field Scanner Season 4 Range 23 Column 6,PI257599,234.0,28270.0,,
MAC Field Scanner Season 4 Range 23 Column 7,PI585452,154.0,17900.0,,
MAC Field Scanner Season 4 Range 23 Column 8,PI329519,370.0,26140.0,,
MAC Field Scanner Season 4 Range 23 Column 9,PI651496,374.0,29650.0,,
MAC Field Scanner Season 4 Range 24 Column 10,PI570106,341.0,26370.0,,
MAC Field Scanner Season 4 Range 24 Column 11,PI569421,326.0,25510.0,,
MAC Field Scanner Season 4 Range 24 Column 12,PI197542,330.0,16440.0,45.0,50.0
MAC Field Scanner Season 4 Range 24 Column 13,PI329614,314.0,12580.0,,
MAC Field Scanner Season 4 Range 24 Column 14,PI157804,332.0,20070.0,48.0,56.0
MAC Field Scanner Season 4 Range 24 Column 15,PI329506,351.0,15810.0,,
MAC Field Scanner Season 4 Range 24 Column 2,PI641815,237.0,23130.0,77.0,89.0
MAC Field Scanner Season 4 Range 24 Column 3,PI63715,306.0,12590.0,77.0,89.0
MAC Field Scanner Season 4 Range 24 Column 4,PI585577,365.0,15640.0,,
MAC Field Scanner Season 4 Range 24 Column 5,PI563002,334.0,44200.0,,
MAC Field Scanner Season 4 Range 24 Column 6,PI329478,286.0,21690.0,,
MAC Field Scanner Season 4 Range 24 Column 7,PI329326,285.0,16490.0,,
MAC Field Scanner Season 4 Range 24 Column 8,PI535795,315.0,21030.0,,64.0
MAC Field Scanner Season 4 Range 24 Column 9,PI641830,334.0,26240.0,46.0,
MAC Field Scanner Season 4 Range 25 Column 10,PI330796,349.0,24810.0,,
MAC Field Scanner Season 4 Range 25 Column 11,PI569422,338.0,13640.0,,
MAC Field Scanner Season 4 Range 25 Column 12,PI273969,339.0,46300.0,,
MAC Field Scanner Season 4 Range 25 Column 13,PI152591,365.0,9039.0,,
MAC Field Scanner Season 4 Range 25 Column 14,PI455221,378.0,31200.0,,
MAC Field Scanner Season 4 Range 25 Column 15,PI156393,369.0,16090.0,,
MAC Field Scanner Season 4 Range 25 Column 2,PI562781,130.0,12370.0,,
MAC Field Scanner Season 4 Range 25 Column 3,PI585467,321.0,16250.0,,
MAC Field Scanner Season 4 Range 25 Column 4,PI337689,337.0,27880.0,,
MAC Field Scanner Season 4 Range 25 Column 5,PI521019,327.0,23730.0,,
MAC Field Scanner Season 4 Range 25 Column 6,PI155885,346.0,24940.0,,
MAC Field Scanner Season 4 Range 25 Column 7,PI330858,357.0,36290.0,,
MAC Field Scanner Season 4 Range 25 Column 8,PI329338,358.0,15830.0,,
MAC Field Scanner Season 4 Range 25 Column 9,PI455217,366.0,45170.0,,
MAC Field Scanner Season 4 Range 26 Column 10,PI329333,366.0,4039.0,,
MAC Field Scanner Season 4 Range 26 Column 11,PI585406,362.0,16150.0,,
MAC Field Scanner Season 4 Range 26 Column 12,PI156330,321.0,14060.0,,
MAC Field Scanner Season 4 Range 26 Column 13,PI453696,367.0,25600.0,,
MAC Field Scanner Season 4 Range 26 Column 14,PI651491,368.0,26290.0,,
MAC Field Scanner Season 4 Range 26 Column 15,PI511355,360.0,19080.0,,
MAC Field Scanner Season 4 Range 26 Column 2,PI452619,293.0,17930.0,,
MAC Field Scanner Season 4 Range 26 Column 3,PI570071,362.0,7938.0,,
MAC Field Scanner Season 4 Range 26 Column 4,PI329569,351.0,43940.0,,
MAC Field Scanner Season 4 Range 26 Column 5,PI152923,319.0,27740.0,,
MAC Field Scanner Season 4 Range 26 Column 6,PI267573,350.0,17790.0,,
MAC Field Scanner Season 4 Range 26 Column 7,PI330803,360.0,28930.0,,
MAC Field Scanner Season 4 Range 26 Column 8,PI585454,364.0,19550.0,,
MAC Field Scanner Season 4 Range 26 Column 9,PI506114,359.0,22310.0,,
MAC Field Scanner Season 4 Range 27 Column 10,PI92270,340.0,60950.0,,
MAC Field Scanner Season 4 Range 27 Column 11,PI641810,341.0,30420.0,72.0,74.0
MAC Field Scanner Season 4 Range 27 Column 12,PI535783,336.0,13090.0,62.0,64.0
MAC Field Scanner Season 4 Range 27 Column 13,PI570073,357.0,23230.0,,
MAC Field Scanner Season 4 Range 27 Column 14,PI562971,343.0,22310.0,,
MAC Field Scanner Season 4 Range 27 Column 15,PI156463,331.0,24160.0,,
MAC Field Scanner Season 4 Range 27 Column 2,PI641807,349.0,19100.0,,
MAC Field Scanner Season 4 Range 27 Column 3,PI641892,328.0,21280.0,,
MAC Field Scanner Season 4 Range 27 Column 4,PI641835,321.0,17410.0,77.0,90.0
MAC Field Scanner Season 4 Range 27 Column 5,PI170787,312.0,18430.0,71.0,74.0
MAC Field Scanner Season 4 Range 27 Column 6,PI145619,330.0,19150.0,,
MAC Field Scanner Season 4 Range 27 Column 7,PI196586,375.0,28130.0,77.0,90.0
MAC Field Scanner Season 4 Range 27 Column 8,PI563295,392.0,40900.0,,
MAC Field Scanner Season 4 Range 27 Column 9,PI152965,340.0,13390.0,,
MAC Field Scanner Season 4 Range 28 Column 10,PI273465,376.0,23710.0,,
MAC Field Scanner Season 4 Range 28 Column 11,PI229841,386.0,35920.0,,
MAC Field Scanner Season 4 Range 28 Column 12,PI330196,352.0,20100.0,,
MAC Field Scanner Season 4 Range 28 Column 13,PI521019,342.0,26320.0,,
MAC Field Scanner Season 4 Range 28 Column 14,PI329645,290.0,13630.0,,
MAC Field Scanner Season 4 Range 28 Column 15,PI156890,322.0,15850.0,,
MAC Field Scanner Season 4 Range 28 Column 2,PI152971,298.0,23730.0,77.0,90.0
MAC Field Scanner Season 4 Range 28 Column 3,PI562990,300.0,,,
MAC Field Scanner Season 4 Range 28 Column 4,PI586443,316.0,,,
MAC Field Scanner Season 4 Range 28 Column 5,PI586541,330.0,19910.0,,
MAC Field Scanner Season 4 Range 28 Column 6,PI585467,308.0,14670.0,,
MAC Field Scanner Season 4 Range 28 Column 7,PI221651,346.0,29770.0,,
MAC Field Scanner Season 4 Range 28 Column 8,PI562982,397.0,22610.0,,
MAC Field Scanner Season 4 Range 28 Column 9,PI329646,359.0,18420.0,,
MAC Field Scanner Season 4 Range 29 Column 10,PI570047,375.0,21130.0,,
MAC Field Scanner Season 4 Range 29 Column 11,PI329501,382.0,20730.0,,
MAC Field Scanner Season 4 Range 29 Column 12,PI641892,338.0,30370.0,,
MAC Field Scanner Season 4 Range 29 Column 13,PI144134,319.0,39320.0,77.0,90.0
MAC Field Scanner Season 4 Range 29 Column 14,PI152965,311.0,16590.0,,
MAC Field Scanner Season 4 Range 29 Column 15,PI197542,326.0,,45.0,50.0
MAC Field Scanner Season 4 Range 29 Column 2,PI152816,401.0,20640.0,,
MAC Field Scanner Season 4 Range 29 Column 3,PI92270,298.0,1244.0,56.0,62.0
MAC Field Scanner Season 4 Range 29 Column 4,PI641829,336.0,18480.0,70.0,74.0
MAC Field Scanner Season 4 Range 29 Column 5,PI646266,312.0,35150.0,,
MAC Field Scanner Season 4 Range 29 Column 6,PI297155,282.0,16830.0,76.0,78.0
MAC Field Scanner Season 4 Range 29 Column 7,PI641824,286.0,24930.0,,
MAC Field Scanner Season 4 Range 29 Column 8,PI641807,292.0,29340.0,,
MAC Field Scanner Season 4 Range 29 Column 9,PI563295,372.0,38200.0,,
MAC Field Scanner Season 4 Range 3 Column 10,PI569097,389.0,25140.0,,
MAC Field Scanner Season 4 Range 3 Column 11,PI573193,379.0,14400.0,,
MAC Field Scanner Season 4 Range 3 Column 12,PI152771,212.0,21990.0,,
MAC Field Scanner Season 4 Range 3 Column 13,PI569427,157.0,26280.0,,
MAC Field Scanner Season 4 Range 3 Column 14,PI337680,358.0,7683.0,,
MAC Field Scanner Season 4 Range 3 Column 15,PI156871,349.0,19020.0,,
